BranchesFrom	Vessel	VesselType	BodyPart	Sex	Anastomoses	ForBranchesSee	MergedVessel	CoordX	CoordY	BranchSequence	CellType	CellTypeLabel	CellTypeID	Biomarkers	BiomarkersLabel	BiomarkersID	ReferenceURL	Reference	ReferenceDOI	UBERON	FMA	BodyPartUberon	UBERONLabel	FMALabel	PathFromHeart
third dorsal metatarsal artery	dorsal digital artery of foot #4	artery	foot				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Dorsal_digital_arteries_of_foot	https://en.wikipedia.org/wiki/Dorsal_digital_arteries_of_foot		UBERON:0039351	fma44660	UBERON:0002387	dorsal digital artery of foot	Dorsal digital artery of foot	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;anterior tibial artery;dorsalis pedis artery;arcuate artery of foot;third dorsal metatarsal artery;dorsal digital artery of foot #4
dorsalis pedis artery	deep plantar artery	artery	foot				0			3	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Deep_plantar_artery	https://en.wikipedia.org/wiki/Deep_plantar_artery			fma69513	UBERON:0002387		Deep plantar artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;anterior tibial artery;dorsalis pedis artery;deep plantar artery
dorsalis pedis artery	first dorsal metatarsal artery	artery	foot				0			4	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Dorsalis_pedis_artery	https://en.wikipedia.org/wiki/Dorsalis_pedis_artery			fma44647	UBERON:0002387		First dorsal metatarsal artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;anterior tibial artery;dorsalis pedis artery;first dorsal metatarsal artery
first dorsal metatarsal artery	dorsal digital artery of foot	artery	foot				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Dorsal_digital_arteries_of_foot	https://en.wikipedia.org/wiki/Dorsal_digital_arteries_of_foot		UBERON:0039351	fma44660	UBERON:0002387	dorsal digital artery of foot	Dorsal digital artery of foot	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;anterior tibial artery;dorsalis pedis artery;first dorsal metatarsal artery;dorsal digital artery of foot
dorsalis pedis artery	lateral tarsal artery	artery	foot				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Lateral_tarsal_artery	https://en.wikipedia.org/wiki/Lateral_tarsal_artery			fma44595	UBERON:0002387		Lateral tarsal artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;anterior tibial artery;dorsalis pedis artery;lateral tarsal artery
dorsalis pedis artery	medial tarsal artery	artery	foot		arcuate artery of the foot		0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Medial_tarsal_arteries	https://en.wikipedia.org/wiki/Medial_tarsal_arteries		UBERON:0001553	fma44598	UBERON:0002387	medial tarsal artery	Medial tarsal artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;anterior tibial artery;dorsalis pedis artery;medial tarsal artery
anterior tibial artery	posterior tibial recurrent artery	artery	leg				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Posterior_tibial_recurrent_artery	https://en.wikipedia.org/wiki/Posterior_tibial_recurrent_artery			fma43903	UBERON:0000978		Posterior tibial recurrent artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;anterior tibial artery;posterior tibial recurrent artery
popliteal artery	lateral inferior genicular artery	artery	leg		medial inferior genicular artery		0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://www.healthline.com/human-body-maps/lateral-inferior-genicular-artery#1	https://www.healthline.com/human-body-maps/lateral-inferior-genicular-artery#1			fma43888	UBERON:0000978		Inferior lateral genicular artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;lateral inferior genicular artery
popliteal artery	lateral superior genicular artery	artery	leg		medial superior genicular artery		0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Lateral_superior_genicular_artery	https://en.wikipedia.org/wiki/Lateral_superior_genicular_artery			fma22585	UBERON:0000978		Superior lateral genicular artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;lateral superior genicular artery
popliteal artery	medial inferior genicular artery	artery	leg		lateral inferior genicular artery		0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://www.healthline.com/human-body-maps/medial-inferior-genicular-artery#1	https://www.healthline.com/human-body-maps/medial-inferior-genicular-artery#1			fma43889	UBERON:0000978		Inferior medial genicular artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;medial inferior genicular artery
popliteal artery	medial superior genicular artery	artery	leg		lateral superior genicular artery		0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Medial_superior_genicular_artery	https://en.wikipedia.org/wiki/Medial_superior_genicular_artery			fma22584	UBERON:0000978		Superior medial genicular artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;medial superior genicular artery
popliteal artery	middle genicular artery	artery	leg				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Middle_genicular_artery	https://en.wikipedia.org/wiki/Middle_genicular_artery			fma22536	UBERON:0000978		Middle genicular artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;middle genicular artery
popliteal artery	sural artery	artery	leg				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Sural_arteries	https://en.wikipedia.org/wiki/Sural_arteries		UBERON:0001390	fma22570	UBERON:0000978	sural artery	Sural artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;sural artery
popliteal artery	tibial-peroneal trunk	artery	leg				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Tibial-fibular_trunk	https://en.wikipedia.org/wiki/Tibial-fibular_trunk			fma66421	UBERON:0000978		Trunk of posterior tibial artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;tibial-peroneal trunk
tibial-peroneal trunk	peroneal artery	artery	leg				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Fibular_artery	https://en.wikipedia.org/wiki/Fibular_artery		UBERON:0001540	fma43921	UBERON:0000978	peroneal artery	Peroneal artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;tibial-peroneal trunk;peroneal artery
peroneal artery	calcaneal branch of fibular artery	artery	leg				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Fibular_artery	https://en.wikipedia.org/wiki/Fibular_artery			fma44630	UBERON:0000978		Calcaneal branch of fibular artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;tibial-peroneal trunk;peroneal artery;calcaneal branch of fibular artery
peroneal artery	communicating branch of fibular artery	artery	leg				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Fibular_artery	https://en.wikipedia.org/wiki/Fibular_artery			fma44034	UBERON:0000978		Communicating branch of fibular artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;tibial-peroneal trunk;peroneal artery;communicating branch of fibular artery
peroneal artery	perforating branch of fibular artery	artery	leg				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Fibular_artery	https://en.wikipedia.org/wiki/Fibular_artery			fma44033	UBERON:0000978		Perforating branch of fibular artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;tibial-peroneal trunk;peroneal artery;perforating branch of fibular artery
tibial-peroneal trunk	posterior tibial artery	artery	leg				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Tibial-fibular_trunk	https://en.wikipedia.org/wiki/Tibial-fibular_trunk		UBERON:0001538	fma43895	UBERON:0000978	posterior tibial artery	Posterior tibial artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;tibial-peroneal trunk;posterior tibial artery
posterior tibial artery	circumflex fibular artery	artery	leg				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Circumflex_fibular_artery	https://en.wikipedia.org/wiki/Circumflex_fibular_artery			fma43918	UBERON:0000978		Circumflex fibular artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;tibial-peroneal trunk;posterior tibial artery;circumflex fibular artery
posterior tibial artery	lateral plantar artery	artery	foot				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Lateral_plantar_artery	https://en.wikipedia.org/wiki/Lateral_plantar_artery			fma43926	UBERON:0002387		Lateral plantar artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;tibial-peroneal trunk;posterior tibial artery;lateral plantar artery
lateral plantar artery	plantar arch	artery	foot				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Plantar_arch	https://en.wikipedia.org/wiki/Plantar_arch			fma43942	UBERON:0002387		Plantar arch	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;tibial-peroneal trunk;posterior tibial artery;lateral plantar artery;plantar arch
plantar arch	plantar metatarsal artery	artery	foot				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Plantar_metatarsal_arteries	https://en.wikipedia.org/wiki/Plantar_metatarsal_arteries		UBERON:0035195	fma43956	UBERON:0002387	plantar metatarsal artery	Plantar metatarsal artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;tibial-peroneal trunk;posterior tibial artery;lateral plantar artery;plantar arch;plantar metatarsal artery
plantar metatarsal artery	common plantar digital artery	artery	foot				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Common_plantar_digital_arteries	https://en.wikipedia.org/wiki/Common_plantar_digital_arteries		UBERON:0002455	fma70821	UBERON:0002387	common plantar digital arteries	Set of common plantar digital arteries	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;tibial-peroneal trunk;posterior tibial artery;lateral plantar artery;plantar arch;plantar metatarsal artery;common plantar digital artery
posterior tibial artery	medial plantar artery	artery	foot				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Medial_plantar_artery	https://en.wikipedia.org/wiki/Medial_plantar_artery		UBERON:0001541	fma43925	UBERON:0002387	medial plantar artery	Medial plantar artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;common femoral artery;superficial femoral artery;popliteal artery;tibial-peroneal trunk;posterior tibial artery;medial plantar artery
external iliac artery	deep circumflex iliac artery	artery	pelvis				0	50	-330	1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Deep_circumflex_iliac_artery	https://en.wikipedia.org/wiki/Deep_circumflex_iliac_artery		UBERON:0009040	fma20687	UBERON:0002355	deep circumflex iliac artery	Deep circumflex iliac artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;deep circumflex iliac artery
external iliac artery	inferior epigastric artery	artery	abdominal wall		superior epigastric artery		0	50	-340	2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Inferior_epigastric_artery	https://en.wikipedia.org/wiki/Inferior_epigastric_artery		UBERON:0001354	fma20686	UBERON:0003697	inferior epigastric artery	Inferior epigastric artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;inferior epigastric artery
inferior epigastric artery	artery of round ligament of uterus	artery	uterus	female			0			3	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Artery_of_round_ligament_of_uterus	https://en.wikipedia.org/wiki/Artery_of_round_ligament_of_uterus			fma70195	UBERON:0000995		Artery of round ligament of uterus	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;inferior epigastric artery;artery of round ligament of uterus
inferior epigastric artery	cremasteric artery	artery	penis	male			0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Cremasteric_artery	https://en.wikipedia.org/wiki/Cremasteric_artery		UBERON:0034693	fma70192	UBERON:0000989	cremasteric artery	Cremasteric artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;inferior epigastric artery;cremasteric artery
inferior epigastric artery	pubic branch of inferior epigastric artery	artery	pelvis				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Inferior_epigastric_artery	https://en.wikipedia.org/wiki/Inferior_epigastric_artery			fma20701	UBERON:0002355		Trunk of pubic part of inferior epigastric artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;external iliac artery;inferior epigastric artery;pubic branch of inferior epigastric artery
common iliac artery	internal iliac artery	artery	pelvis				0	50	-310	2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Internal_iliac_artery	https://en.wikipedia.org/wiki/Internal_iliac_artery		UBERON:0001309	fma18808	UBERON:0002355	internal iliac artery	Internal iliac artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery
internal iliac artery	anterior division of internal iliac artery	artery	pelvis				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Internal_iliac_artery	https://en.wikipedia.org/wiki/Internal_iliac_artery			fma69797	UBERON:0002355		Anterior division of internal iliac artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery
anterior division of internal iliac artery	inferior gluteal artery	artery	pelvis				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Inferior_gluteal_artery	https://en.wikipedia.org/wiki/Inferior_gluteal_artery			fma18871	UBERON:0002355		Inferior gluteal artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;inferior gluteal artery
anterior division of internal iliac artery	inferior vesical artery	artery	urinary bladder				0			6	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Inferior_vesical_artery	https://en.wikipedia.org/wiki/Inferior_vesical_artery		UBERON:0001311	fma18823	UBERON:0001255	inferior vesical artery	Inferior vesical artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;inferior vesical artery
inferior vesical artery	prostatic artery	artery	pelvis				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://radiopaedia.org/articles/inferior-vesical-artery	https://radiopaedia.org/articles/inferior-vesical-artery			fma20966	UBERON:0002355		Prostatic part of inferior vesical artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;inferior vesical artery;prostatic artery
prostatic artery	middle rectal artery #2	artery	pelvis				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://pubs.rsna.org/doi/10.1148/rg.2019180195	Picel, A., Hsieh, T.C., Shapiro, R., Vezeridis, A., & Isaacson, A. (2019). Prostatic Artery Embolization for Benign Prostatic Hyperplasia: Patient Evaluation, Anatomy, and Technique for Successful Treatment RadioGraphics, 39(5), 1526-1548.	10.1148/rg.2019180195		fma18826	UBERON:0002355		Middle rectal artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;inferior vesical artery;prostatic artery;middle rectal artery #2
prostatic artery	seminal vesicle arterial branches of prostatic artery	artery	pelvis				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://pubs.rsna.org/doi/10.1148/rg.2019180195	Picel, A., Hsieh, T.C., Shapiro, R., Vezeridis, A., & Isaacson, A. (2019). Prostatic Artery Embolization for Benign Prostatic Hyperplasia: Patient Evaluation, Anatomy, and Technique for Successful Treatment RadioGraphics, 39(5), 1526-1548.	10.1148/rg.2019180195			UBERON:0002355			left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;inferior vesical artery;prostatic artery;seminal vesicle arterial branches of prostatic artery
anterior division of internal iliac artery	internal pudendal artery	artery	pelvis				0			8	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Internal_pudendal_artery	https://en.wikipedia.org/wiki/Internal_pudendal_artery		UBERON:0007315	fma18835	UBERON:0002355	internal pudendal artery	Internal pudendal artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;internal pudendal artery
internal pudendal artery	artery of bulb of vestibule	artery	vagina	female			0			5	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Artery_of_bulb_of_vestibule	https://en.wikipedia.org/wiki/Artery_of_bulb_of_vestibule		UBERON:0034727	fma20900	UBERON:0000996	vestibular bulb artery	Vestibular bulb artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;internal pudendal artery;artery of bulb of vestibule
internal pudendal artery	common penile artery	artery	penis	male			0			7	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Penile_artery	https://en.wikipedia.org/wiki/Penile_artery		UBERON:0008320	FMA66318	UBERON:0000989	common penile artery	Artery of penis	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;internal pudendal artery;common penile artery
common penile artery	bulbourethral artery	artery	penis	male			0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Penile_artery	https://en.wikipedia.org/wiki/Penile_artery				UBERON:0000989			left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;internal pudendal artery;common penile artery;bulbourethral artery
common penile artery	cavernosal artery	artery	penis	male			0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Penile_artery	https://en.wikipedia.org/wiki/Penile_artery				UBERON:0000989			left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;internal pudendal artery;common penile artery;cavernosal artery
common penile artery	deep artery of penis	artery	penis	male			0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Penile_artery	https://en.wikipedia.org/wiki/Penile_artery		UBERON:0039244	fma19794	UBERON:0000989	deep artery of penis	Deep artery of penis	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;internal pudendal artery;common penile artery;deep artery of penis
deep artery of penis	helicine artery of penis	artery	penis	male			0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Helicine_arteries_of_penis	https://en.wikipedia.org/wiki/Helicine_arteries_of_penis		UBERON:0015174	fma19796	UBERON:0000989	helicine artery of penis	Helicine artery of penis	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;internal pudendal artery;common penile artery;deep artery of penis;helicine artery of penis
common penile artery	dorsal artery of penis	artery	penis	male			0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Penile_artery	https://en.wikipedia.org/wiki/Penile_artery		UBERON:0001340	fma19795	UBERON:0000989	dorsal artery of penis	Dorsal artery of penis	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;internal pudendal artery;common penile artery;dorsal artery of penis
internal pudendal artery	deep artery of clitoris	artery	clitoris	female			0			6	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Internal_pudendal_artery	https://en.wikipedia.org/wiki/Internal_pudendal_artery		UBERON:0008322	fma20870	UBERON:0002411	deep artery of clitoris	Deep artery of clitoris	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;internal pudendal artery;deep artery of clitoris
internal pudendal artery	dorsal artery of clitoris	artery	clitoris	female			0			8	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Internal_pudendal_artery	https://en.wikipedia.org/wiki/Internal_pudendal_artery		UBERON:0008323	fma20867	UBERON:0002411	dorsal artery of clitoris	Dorsal artery of clitoris	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;internal pudendal artery;dorsal artery of clitoris
internal pudendal artery	inferior rectal artery	artery	pelvis				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Inferior_rectal_artery	https://en.wikipedia.org/wiki/Inferior_rectal_artery		UBERON:0001357	fma20824	UBERON:0002355	inferior rectal artery	Inferior rectal artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;abdominal aorta;common iliac artery;internal iliac artery;anterior division of internal iliac artery;internal pudendal artery;inferior rectal artery
